date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:17	29582/29582	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:16%20GMT	https://laravel.com/docs/7.x	/home/suga/websites/lardoc/laravel.com/docs/7.html	(from )
13:37:21	24/24	---M--	200	added ('OK')	text/plain	etag:%225d570371-18%22	https://laravel.com/robots.txt		(from )
13:37:23	29751/29751	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jul%202020%2006:37:22%20GMT	https://laravel.com/docs/7.x/installation	/home/suga/websites/lardoc/laravel.com/docs/7.x/installation.html	(from https://laravel.com/docs/7.x)
13:37:25	6450/6450	---M--	200	added ('OK')	image/png	etag:%225d570371-1932%22	https://laravel.com/img/favicon/apple-touch-icon.png	/home/suga/websites/lardoc/laravel.com/img/favicon/apple-touch-icon.png	(from https://laravel.com/docs/7.x)
13:37:25	1882/1882	---M--	200	added ('OK')	image/png	etag:%225d570371-75a%22	https://laravel.com/img/favicon/favicon-32x32.png	/home/suga/websites/lardoc/laravel.com/img/favicon/favicon-32x32.png	(from https://laravel.com/docs/7.x)
13:37:25	973/973	---M--	200	added ('OK')	image/png	etag:%225d570371-3cd%22	https://laravel.com/img/favicon/favicon-16x16.png	/home/suga/websites/lardoc/laravel.com/img/favicon/favicon-16x16.png	(from https://laravel.com/docs/7.x)
13:37:29	470/470	---M--	200	added ('OK')	application/octet-stream	etag:%225d570371-1d6%22	https://laravel.com/img/favicon/site.webmanifest	/home/suga/websites/lardoc/laravel.com/img/favicon/site.webmanifest	(from https://laravel.com/docs/7.x)
13:37:30	5179/5179	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d570371-143b%22	https://laravel.com/img/favicon/safari-pinned-tab.svg	/home/suga/websites/lardoc/laravel.com/img/favicon/safari-pinned-tab.svg	(from https://laravel.com/docs/7.x)
13:37:30	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225d570371-3aee%22	https://laravel.com/img/favicon/favicon.ico	/home/suga/websites/lardoc/laravel.com/img/favicon/favicon.ico	(from https://laravel.com/docs/7.x)
13:37:32	268/268	---MCZ	200	added ('OK')	text/xml	etag:W/%225d570371-10c%22	https://laravel.com/img/favicon/browserconfig.xml	/home/suga/websites/lardoc/laravel.com/img/favicon/browserconfig.xml	(from https://laravel.com/docs/7.x)
13:37:34	7501/7501	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Jul%202020%2006:37:32%20GMT	https://use.typekit.net/ins2wgm.css	/home/suga/websites/lardoc/use.typekit.net/ins2wgm.css	(from https://laravel.com/docs/7.x)
13:37:35	68505/68505	---MCZ	200	added ('OK')	text/css	etag:W/%225e6f9314-10b99%22	https://laravel.com/css/app.css?id=8115aaed23a2c0c23e6d	/home/suga/websites/lardoc/laravel.com/css/appf1ab.css	(from https://laravel.com/docs/7.x)
